English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Speakers,0,,0,0,,Y
The Farmer,Die Landwirt*innen,,,,,
The Doctor,Die Ärzt*innen,,,,,
The Posadist,Die Posadist*innen,,,,,
The Doom Cultist,Die Untergangs-Kultisten*innen,,,,,
The Leather Underground,Der Leder-Untergrund,,,,,
The Climatologist,Die Klimatolog*innen,,,,,
The Economist,Die Ökonom*innen,,,,,
The Engineer,Die Ingenieur*innen,,,,,
The Geoengineer,Die Geo-Ingenieur*innen,,,,,
The Hero,Held*innen,,,,,
Gossy,Gossy,,,,,
The Authoritarian,Die Authoritären,,,,,
The Spacer,Die Abstandshalter*innen,,,,,
The Animal Liberationist,Die Tierschützer*innen,,,,,
The Consumerist,Die Konsument*innen,,,,,
The Accelerationist,Die Beschleuniger*innen,,,,,
The Environmentalist,Die Umweltaktivist*innen,,,,,
The Ecofeminist,Die Öko-Feminist*innen,,,,,
The Utopian,Die Utopist*innen,,,,,
The Citizen,Die Bürger*innen,,,,,
[GAME],[SPIEL],,,,,
The Malthusian,Die Malthusianer*innen,,,,,
The Earth Liberation Front,Die Weltbefreiungskämpfer*innen,,,,,
The Ecologist,Die Ökolog*innen,,,,,
The Alien,Die Aliens,,,,,
The Fanonist,Die Entkolonialist*innen,,,,,
The Soldier,Die Soldat*innen,,,,,
The Wretched,Die Elenden,,,,,
Regions,0,,0,0,,Y
Southern Asia,Südasien,,,,,
Southern Europe,Südeuropa,,,,,
Western Asia,Westasien,,,,,
Southern Africa,Südafrika,,,,,
Central Asia,Zentralasien,,,,,
Oceania,Ozeanien,,,,,
Northern Africa,Nordafrika,,,,,
Northern America,Nordamerika,,,,,
Central America,Zentral- & Lateinamerika,,,,,
Southern America,Südamerika,,,,,
Eastern Africa,Ostafrika,,,,,
Eastern Asia,Ostasien,,,,,
Caribbean,Karibik,,,,,
Western Europe,Westeuropa,,,,,
Australasia,Australien,,,,,
Eastern Europe,Osteuropa,,,,,
Northern Europe,Nordeuropa,,,,,
Central Africa,Zentralafrika,,,,,
