English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Speakers,0,,0,1,,Y
The Farmer,Granjero,,,,,
The Doctor,Doctora,,,,,
The Posadist,Posadista,,,,,
The Doom Cultist,Cultista del día final,,,,,
The Leather Underground,The Leather Underground,,,Y,What should this be?,
The Climatologist,Climatologista,,,,,
The Economist,Economista,,,,,
The Engineer,Ingeniera,,,,,
The Geoengineer,Geoingeniero,,,,,
The Hero,Figura heroica,,,,,
Gossy,Gossy,,,,,
The Authoritarian,Autoritario,,,,,
The Spacer,Explorador espacial,,,,,
The Animal Liberationist,Antiespecista,,,,,
The Consumerist,Consumista,,,,,
The Accelerationist,Acceleracionista,,,,,
The Environmentalist,Ecologista,,,,,
The Ecofeminist,Ecofeminista,,,,,
The Utopian,Utopista,,,,,
The Citizen,Ciudadane,,,,,
[GAME],[GAME],,,,,
The Malthusian,Maltusiano,,,,,
The Earth Liberation Front,Frente de Liberación de la Tierra,,,,,
The Ecologist,Ecólogo,,,,,
The Alien,Alién,,,,,
The Fanonist,Fanonista,Anticolonialista,,,,
The Soldier,Soldado,,,,,
The Wretched,Miserable,,,,,
Regions,0,,0,0,,Y
Southern Asia,Asia del Sur,,,,,
Southern Europe,Europa del Sur,,,,,
Western Asia,Asia Occidental,,,,,
Southern Africa,Africa del Sur,,,,,
Central Asia,Asia Central,,,,,
Oceania,Oceanía,,,,,
Northern Africa,África del Norte,,,,,
Northern America,América del Norte,,,,,
Central America,Centroamérica,,,,,
Southern America,América del Sur,,,,,
Eastern Africa,África del Este,,,,,
Eastern Asia,Asia del Este,,,,,
Caribbean,Caribe,,,,,
Western Europe,Europa Occidental,,,,,
Australasia,Australasia,,,,,
Eastern Europe,Europa del Este,,,,,
Northern Europe,Europa del Norte,,,,,
Central Africa,África Central,,,,,
Western Africa,Afríca Occidental,,,,,
South-eastern Asia,Sudeste Asiático,,,,,
Projects,0,,1,9,,Y
Crack Down on Crypto-Mining,Reprimir la criptominería,,,Y,Acabar con?,
Feminist Science and Technology Studies,Estudios feministas de ciencia y tecnología,,,,,
Consumerist Curriculum,Plan de estudios consumista,,,Y,Currículum? Currículo? Plan de estudios?,
Multistrata Agroforestry,Agroforestería Multiestratos,,,,,
Animal Liberationist Curriculum,Plan de estudios de liberacionista animal,,,Y,Antiespecista?,
Marine Protected Areas,Áreas Marinas Protegidas,,,,,
Flexitarian,Flexitarianismo,,,,,
Fast-Breeder Reactor,Reactor reproductor rápido,,,,,
Malthusian Curriculum,Plan de estudios malthusiano,,,,,
Phase Out Commercial Fishing,Eliminación progresiva de la pesca comercial,,,,,
Biochar,Biochar,,,,,
Rotational Grazing,Pastoreo rotativo,,,,,
Cellular Meat,Carne cultivada,,,,,
Expand Recycling,Ampliar el reciclaje,,,,,
Meatless Mondays,Lunes sin carne,,,,,
Agricultural Robotics,Robótica agrícola,,,,,
Advances in Ecosystem Modelling,Avances en el modelado de ecosistemas,,,,,
Vegetarian Mandate,Directiva vegetariana,,,,,
Relocate Industry to Space,Trasladar la industria al espacio,,,,,
Cap and Trade Program for Children,Comercio de derechos de crianza,,,,,
Luxury for All,Lujo universal,,,,,
High-Density Batteries,Baterías de alta densidad,,,,,
Thorium Reactor,Reactor de torio,,,,,
3rd Generation Biofuels,Biocombustibles de 3ra generación,,,,,
Restore Desert Habitats,Restaurar los ecosistemas del desierto,,,Y,Hábitats?,
Ecosocialist Video Game,Videojuegos ecosocialistas,,,,,
Utopian Curriculum,Plan de estudios utopista,,,,,
