English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
Speakers,0,,100%,0,完了,Y,,
The Farmer,農民,農民,農民,,,,,
The Doctor,医者,医者,医者,,,,,
The Posadist,ポサディスト,ポサディスト,ポサディスト,,,,,解説欲しいかも、、、
The Doom Cultist,破滅主義者(ドゥームカルト),破滅主義者(ドゥームカルト),ドゥームズデー・カルト,,,,,解説欲しいかも、、、
The Leather Underground,レザーアンダーグラウンド,レザーアンダーグラウンド,レザー・アンダーグラウンド,,何を指すのか全然わからないです,,,解説欲しいかも、、、
The Climatologist,気候学者,気候学者,気候学者,,,,,
The Economist,経済学者,経済学者,経済学者,,,,,
The Engineer,エンジニア,エンジニア,工学博士,,,,,
The Geoengineer,ジオエンジニア,ジオエンジニア,地球工学博士,,,,,
The Hero,ヒーロー,ヒーロー,英雄,,,,,
Gossy,ゴシップ好き,ゴシップ好き,後須さん,,キャラクター名？,,,
The Authoritarian,権威主義者,権威主義者,権威主義者,,,,,
The Spacer,宇宙進出主義者,宇宙進出主義者,宇宙進出主義者,,,,,
The Animal Liberationist,動物解放主義者,動物解放主義者,動物解放主義者,,,,,
The Consumerist,消費者主義者,消費者主義者,消費者の代表,,,,,
The Accelerationist,加速主義者,加速主義者,加速主義者,,,,,何が加速するのか？経済？
The Environmentalist,環境保護主義者,環境保護主義者,環境保護主義者,,,,,
The Ecofeminist,エコフェミニスト,エコフェミニスト,エコフェミニスト,,,,,解説欲しいかも、、、
The Utopian,ユートピア主義者,ユートピア主義者,理想郷主義者,,,,,
The Citizen,市民,市民,一般市民,,,,,
[GAME],[ゲーム］,,[GAME],,[]内はプログラムの指示語？？,,,
The Malthusian,マルサス的な,マルサス主義者,マルサス主義者,,,,,解説欲しいかも、、、
The Earth Liberation Front,地球解放戦線,地球解放戦線,地球解放戦線,,,,,解説欲しいかも、、、
The Ecologist,エコロジスト,エコロジスト,生態学者,,,,,
The Alien,エイリアン,エイリアン,宇宙人,,,,,
The Fanonist,ファノニスト,狂信者,ファノニスト,,,,,解説欲しいかも、、、
The Soldier,ソルジャー,兵士,軍人,,,,,
The Wretched,The Wretched,悲惨な人々,悲惨な人,,,,,
Regions,0,,100%,0,完了,Y,,
Southern Asia,南アジア,,南アジア,,,,,
Southern Europe,南欧,,南ヨーロッパ,,,,,
Western Asia,西アジア,,西アジア,,,,,
Southern Africa,南部アフリカ,,南アフリカ,,,,,
Central Asia,中央アジア,,中央アジア,,,,,
Oceania,オセアニア,,オセアニア,,,,,
Northern Africa,北アフリカ,,北アフリカ,,,,,
Northern America,北アメリカ,,北アメリカ,,,,,
Central America,中央アメリカ,,中央アメリカ,,,,,
Southern America,南米,,南アメリカ,,,,,
Eastern Africa,東アフリカ,,東アフリカ,,,,,
Eastern Asia,東アジア,,東アジア,,,,,
Caribbean,カリビアン,,カリブ海周辺,,,,,
Western Europe,西ヨーロッパ,,西ヨーロッパ,,,,,
Australasia,オーストララシア,,オーストラリア,,,,,
Eastern Europe,東欧,,東ヨーロッパ,,,,,
Northern Europe,北欧,,北ヨーロッパ,,,,,
Central Africa,中央アフリカ,,中央アフリカ,,,,,
Western Africa,西アフリカ,,西アフリカ,,,,,
South-eastern Asia,南東アジア,,東南アジア,,,,,
Projects,0,,100%,0,完了,Y,,
Crack Down on Crypto-Mining,暗号マイニングの取り締まり,,仮想通貨マイニングの取締り,,,,,解説欲しいかも、、、
Feminist Science and Technology Studies,フェミニスト科学技術研究,,フェミニスト科学技術論,,,,,
Consumerist Curriculum,消費者向けカリキュラム,,消費者の代表の教育,,,,,消費者に対しての教育活動？
Multistrata Agroforestry,マルチストラータ・アグロフォレストリー,,多層型アグロフォレストリー（森林農業）,,,,,解説欲しいかも、、、
Animal Liberationist Curriculum,動物解放主義者のカリキュラム,,動物解放主義者の教育,,,,,動物拡大主義者の拡大
Marine Protected Areas,海洋保護区,,海洋保護区,,,,,
Flexitarian,フレキシタリアン,,柔軟な菜食主義,,,,,ゆるベジタリアン、野菜中心の食生活
Fast-Breeder Reactor,高速増殖炉,,高速増殖炉,,,,,
Malthusian Curriculum,マルサス的カリキュラム,,マルサス主義者の教育,,,,,マルサス主義者の拡大
Phase Out Commercial Fishing,商業漁業の段階的廃止,,商業漁業の段階的廃止,,,,,
Biochar,バイオチャージ,,バイオ炭,,,,,
Rotational Grazing,回転放牧,,輪換放牧,,,,,解説欲しいかも、、、
Cellular Meat,セルラーミート,,培養肉,,,,,
Expand Recycling,リサイクルを拡大する,,リサイクルの拡大,,,,,
Meatless Mondays,ミートレス・マンデー,,ミートレス・マンデー,,,,,週１肉禁止Day（ミートレス・マンデー）
Agricultural Robotics,農業用ロボティクス,,農業ロボット,,,,,
Advances in Ecosystem Modelling,エコシステムモデリングの進歩,,生態系モデルの進歩,,,,,
Vegetarian Mandate,ベジタリアン・マンデート,,ベジタリアンマンデート,,日本語に該当する語句がない※日本語の「マンデート」は証券用語になってしまう,,,ベジタリアン義務化
Relocate Industry to Space,宇宙への産業移転,,宇宙へ産業を移転させる,,,,,
Cap and Trade Program for Children,子ども向けキャップ・アンド・トレード・プログラム,,1家族当たりの出生制限と出生権取引,,,,,
Luxury for All,すべての人にラグジュアリーを,,全人類に贅沢品を,,,,,
High-Density Batteries,高密度電池,,高エネルギー密度蓄電池,,,,,
Thorium Reactor,トリウム原子炉,,トリウム原子炉,,,,,
3rd Generation Biofuels,第3世代バイオ燃料,,第3世代バイオ燃料,,,,,
Restore Desert Habitats,砂漠の生息地を再生する,,砂漠緑化,,,,,砂漠の自然環境再生
Ecosocialist Video Game,エコソーシャリストビデオゲーム,,環境社会主義のテレビゲーム,,,,,あまりピンとこない、、。
Utopian Curriculum,ユートピア・カリキュラム,,理想郷主義者の教育,,,,,ユートピア主義者の拡大
Universal Family Planning,ユニバーサルファミリープランニング,,全ての人のための家族計画,,,,,世界中の家族計画？解説欲しいかも、、、
Factory Farming Reform,工場畜産改革,,工業システム型畜産,,,,,効率重視の工業型畜産？工業型農業？？
Carbon-Negative Concrete,カーボンネガティブコンクリート,,カーボンネガティブ・コンクリート,,,,,解説欲しいかも、、、
Electric-Arc Furnaces,電気炉,,アーク炉,,アーク炉は、3種ある電気炉の一種,,,解説欲しいかも、、、
Mass Electrification,大量電力化,,大規模電力化,,,,,
Ban Non-Indigenous Hunting,非原住民の狩猟を禁止する,,非先住民族による狩猟の禁止令,,,,,
Vegan Mandate,ヴィーガンマンデート,,ヴィーガンマンデート,,日本語に該当する語句がない※日本語の「マンデート」は証券用語になってしまう,,,ヴィーガン義務化
De-Extinction Research,脱絶滅研究,,絶滅動物の復活研究,,,,,
Open-Ocean Fish Farms,外洋型養殖場,,沖合養殖,,,,,
Energy Conservation Campaign,省エネルギーキャンペーン,,省エネ運動,,,,,
Floating Wind Turbines,浮体式風力発電機,,浮体式風力発電機,,,,,
Indigenous Sovereignty,先住民の主権,,先住民族の主権,,,,,
Green Hydrogen,グリーン水素,,グリーン水素,,,,,
Ocean Iron Fertilization,海の鉄分補給,,海洋への鉄散布,,,,,海洋への鉄分散布（鉄だと大きな塊のイメージ）
Mission to Titan,タイタンへのミッション,,タイタンの開拓,,,,,説明ある？
Phage Therapy,ファージ療法,,ファージ療法,,,,,
Space Colony,スペースコロニー,,スペースコロニー,,,,,
Reconcile Town and Country,タウン＆カントリーを両立させる,,都会と田舎の垣根を取り払う,,,,,
Accelerationist Curriculum,加速度的カリキュラム,,加速主義者の教育過程,,,,,加速主義者（？）の拡大
Masculinity De-Tox,マスキュリニティ・デ・トックス,,有害な男らしさを排除する,,,,,「男らしさ」からの解放、「男らしさ」にとらわれない自由
Battery Storage Network,蓄電池ネットワーク,,蓄電池を利用した電力ネットワーク,,,,,
Electrify Road Vehicles,道路走行車の電動化,,電気自動車の義務化,,,,,
Champagne Socialism,シャンパーニュ・ソーシャリズム,,シャンパン社会主義,,https://ja.wikipedia.org/wiki/シャンパン社会主義者,,,解説欲しいかも、、
The Ark,アーク,,ノアの方舟,,,,,解説欲しいかも、、
Global Demilitarization,グローバルな非軍事化,,世界的な軍事縮小,,,,,
Compost,コンポスト,,コンポスト,,,,,
Solar Radiation Management (SRM),日射管理（SRM）,,太陽放射管理（SRM）,,,,,解説欲しいかも、、
Psyop,サイコパス,,心理作戦,,,,,
Suspend Parliament,国会を一時停止する,,議会の停止,,,,,
Space Elevator,宇宙エレベーター,,宇宙エレベーター,,,,,
'Green' Container Ships,グリーン・コンテナ船,,グリーン貨物船,,コンテナ船は貨物船の一種だが、コンテナ船と訳すか迷うところ,,,
Perennial Cereals,多年生穀物,,多年生穀物,,,,,
Carbon Capture and Sequestration,カーボンキャプチャとセクレストレーション,,二酸化炭素回収・貯留,,,,,
Mine Moon for Tritium,トリチウムを採掘する月,,月でトリチウムを採掘する,,,,,
Ban Exotic Animal Trade,エキゾチックアニマルトレードの禁止,,野生動物の取引の禁止,,,,,
Restrict Air Travel,航空機の利用制限,,航空機の利用制限,,,,,
Fanonist Curriculum,ファノニストのカリキュラム,,ファノニストの教育,,,,,ファノニストの拡大、解説欲しいかも、、
Cloud Seeding,クラウドシーディング,,人工降雨,,,,,
"Gadgets, Fast Fashion, and Endless TV",ガジェット、ファストファッション、エンドレス・テレビ,,ガジェット、ファストファッション、テレビの垂れ流し,,,,,解説欲しい、、
Direct Air Capture,ダイレクトエアキャプチャ,,ダイレクトエアキャプチャー（DAC）,,,,,
Continental Smart Grid,コンチネンタル・スマートグリッド,,ヨーロッパ大陸のスマートグリッド化,,,,,
Passive Building Mandate & Retrofit,パッシブビルの義務化とレトロフィット,,パッシブハウスの建築・改修の義務化,,,,,パッシブハウス（超省エネ住宅）の建築・改修の義務化
Reintroduce Apex Predators,頂点捕食者の再導入,,頂点捕食者の再導入,,,,,
Antarctic Pumping,南極ポンプ,,南極ポンプ,,,,,
Stop Food Aid,食料援助停止,,食料援助の停止,,,,,
Close Borders,クローズド・ボーダー,,国境封鎖,,,,,
Underwater Biosphere,水中生物圏,,海上都市,,,,,
Ban High-Seas Fishing,ハイシーフィッシングの禁止,,公海での漁獲禁止令,,,,,
Abolish Prisons,刑務所廃止,,刑務所の廃止,,,,,
One-Child Policy,ワンチャイルド・ポリシー,,一人っ子政策,,,,,
Cloud Brightening,クラウドブライトニング,,クラウド・ブライトニング,,,,,解説欲しい、、
Next-Gen Solar PV,次世代型太陽光発電,,次世代型太陽光発電,,,,,
