English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Speakers,0,,0,0,"Since Portuguese is very gendered language, the ""The""s before the name are also gendered; since the characters don't seem to be a specific gender, should I just remove the ""The""s in my translation? There are some Speakers names that are themselves gendered (i.e.: ""Farmer"", which can be Agricultor or Agricultora; ""Doctor"" can be Médico or Médica; etc.) but I could avoid gendering most of them this way.",Y
The Farmer,Agricultores,O Agricultor,,,,
The Doctor,Médicos,O Médico,,,,
The Posadist,Posadistas,O Posadista,,,,
The Doom Cultist,Fanáticos do Juízo Final,O Fanático do Juízo Final,,,"This one isn't final, but it's what I could think of, since I don't think we have an 100% equivalent here; I'll probably edit it later.",
The Leather Underground,Justiça de Cabedal,O Couro Oculto,,,,
The Climatologist,Climatologistas,O Climatologista,,,,
The Economist,Economistas,O Economista,,,,
The Engineer,Engenheiros,O Engenheiro,,,,
The Geoengineer,Geoengenheiros,O Geoengenheiro,,,,
The Hero,Heróis,O Herói,,,,
Gossy,Gossy,,,,"I don't think a translation for this one is needed, since it's a reference to Gosplan, right? I mean, it's better if it's not translated.",
The Authoritarian,Autoritários,O Autoritário,,,,
The Spacer,Astronautas,O Astronauta,,to check in-game,"I don't know every single character, and I don't think I've seen this around. Are they the ones for space exploration? For now, I'll translate it as ""Astronaut"".",
The Animal Liberationist,Libertacionistas pelos Animais,O Libertacionista Animal,,,,
The Consumerist,Consumistas,O Consumista,,,,
The Accelerationist,Aceleracionistas,O Aceleracionista,,,,
The Environmentalist,Ambientalistas,O Ambientalista,,,,
The Ecofeminist,Ecofeministas,A Ecofeminista,,,,
The Utopian,Utópicos,O Utópico,,,,
The Citizen,Cidadãos,O Cidadão,,,,
[GAME],[JOGO],,,,,
The Malthusian,Malthusianos,O Malthusiano,,,,
The Earth Liberation Front,Frente de Libertação da Terra,A Frente de Libertação da Terra,,,,
The Ecologist,Ecologistas,O Ecologista,,,,
The Alien,Extraterrestres,O Extraterrestre,,,,
The Fanonist,Fanonistas,O Fanonista,,,,
The Soldier,Soldados,O Soldado,,,,
The Wretched,Os Miseráveis,Miseráveis,,,,
Regions,0,,0,0,,Y
Southern Asia,Sul da Ásia,,,,,
Southern Europe,Sul da Europa,,,,,
Western Asia,Ásia Ocidental,,,,,
Southern Africa,Sul da África,,,,,
Central Asia,Ásia Central,,,,,
Oceania,Oceânia,,,,,
Northern Africa,África do Norte,,,,,
Northern America,América do Norte,,,,,
Central America,América Central,,,,,
Southern America,América do Sul,,,,,
Eastern Africa,África Oriental,,,,,
Eastern Asia,Ásia Oriental,,,,,
Caribbean,Caribe,Caraíbas,,,,
Western Europe,Europa Ocidental,,,,,
Australasia,Australásia,,,,,
Eastern Europe,Europa Oriental,,,,,
Northern Europe,Europa Setentrional,,,,,
Central Africa,África Central,,,,,
Western Africa,África Ocidental,,,,,
South-eastern Asia,Sudeste Asiático,,,,,
Projects,0,,0,0,,Y
Crack Down on Crypto-Mining,Combater Cripto-Mineração,Reprimir Cripto-Mineração,,,,
Feminist Science and Technology Studies,Ciência Feminista e Estudos Tecnológicos,Ciências Feministas e Estudos Tecnológicos,,,,
Consumerist Curriculum,Currículo Consumerista,Currículo de Consumerismo,,,,
Multistrata Agroforestry,Agroflorestação Multistratal,,,,,
Animal Liberationist Curriculum,Currículo de Libertação Animal,,,,,
Marine Protected Areas,Áreas Marinhas Protegidas,,,,,
Flexitarian,Semivegetarianismo,,,,,
Fast-Breeder Reactor,Reator Reprodutor Rápido,Reator-Reprodutor Rápido,,,,
Malthusian Curriculum,Currículo Malthusiano,Currículo de Malthusianismo,,,,
Phase Out Commercial Fishing,Acabar com a Pesca Comercial,Acabar Gradualmente com a Pesca Comercial,,,"There's not a short way to say ""Phase Out"" in PT, an aproximation could me ""Finalizar"" which means ""Finalize"", would that still get the point across?",
Biochar,BioCarvão Vegetal,BioCarvão,,,"In PT ""Charcoal"" (Carvão Vegetal) is usually just called ""Carvão"" (Coal), but I found a service selling Charcoal made through this specufic process calling it ""BioCarvão""",
Rotational Grazing,Rotação de Pastagens,,,,,
Cellular Meat,Carne Celular,,,,,
Expand Recycling,Expandir Reciclagem,Ampliar Reciclagem,,,,
Meatless Mondays,Segundas Sem Carne,Segundas-Feiras Sem Carne,,,,
Agricultural Robotics,Robótica Agricultural,,,,,
Advances in Ecosystem Modelling,Avanços em Modelação de Ecossistemas,,,,,
Vegetarian Mandate,Mandato Vegetariano,Mandato de Vegetarianismo,,,,
Relocate Industry to Space,Relocalizar Indústria para o Espaço,,,,,
Cap and Trade Program for Children,Comércio de emissões para crianças.,,,check,What is this project's description? So I can get a better idea what it's about,
Luxury for All,Luxo para Todos,,,,,
High-Density Batteries,Baterias de Alta Densidade,,,,,
Thorium Reactor,Reator de Tório,,,,,
3rd Generation Biofuels,Biocombustíveis de 3ª Geração,,,,,
Restore Desert Habitats,Restaurar Habitats de Deserto,Recuperar Habitats de Deserto,,,,
Ecosocialist Video Game,Videojogo Ecosocialista,,,,,
Utopian Curriculum,Currículo Utópico,Currículo de Utopismo,,,,
Universal Family Planning,Planeamento Familiar Universal,,,,,
Factory Farming Reform,Reformar Pecuária Intensiva,,,,,
Carbon-Negative Concrete,Betão Carbono Negativo,Betão de Carbono Negativo,,,,
Electric-Arc Furnaces,Fornos Elétricos a Arco,,,,,
Mass Electrification,Elétrificação em Massa,,,,,
Ban Non-Indigenous Hunting,Banir Caça Não Indígena,,,,,
Vegan Mandate,Mandato Vegan,Mandato Vegano,,,"Qual achas melhor, Leo? // Acho que os dois servem, mas ""vegan"" é mais usado em Portugal enquanto ""vegano"" é mais usado no Brasil (não sei quanto aos outros países lusófonos) ~Leo",
De-Extinction Research,Investigação sobre Deextinção,Estudo sobre Deextinção,,,,
Open-Ocean Fish Farms,Aquacultura em Oceano Aberto,,,,,
Energy Conservation Campaign,Campanha de Conservação Energética,Campanha para Conservação de Energia,,,,
Floating Wind Turbines,Turbinas Eólicas Flutuantes,,,,,
Indigenous Sovereignty,Soberania Indígena,,,,,
Green Hydrogen,Hidrogénio Verde,Hidrogénio Ecológico,,,,
Ocean Iron Fertilization,Fertilização do Oceano com Ferro,,,,,
Mission to Titan,Missão até Titã,Missão para Titã,,,,
Phage Therapy,Fagoterapia,,,,,
Space Colony,Colónia Espacial,,,,,
Reconcile Town and Country,Reconciliar a Cidade e o Campo,,,,,
Accelerationist Curriculum,Currículo Aceleracionista,Currículo de Aceleracionismo,,,,
Masculinity De-Tox,Detoxificação de Masculinidade,Detoxificação Masculina,,,,
Battery Storage Network,Rede de Armazenamento de Baterias,,,,,
Electrify Road Vehicles,Eletrificar Veículos de Estrada,,,,,
Champagne Socialism,Socialismo Champanhe,Socialismo Espumante,,,,
The Ark,A Arca,,,,,
Global Demilitarization,Desmilitarização Global,,,,,
Compost,Composto,Adubo,,,,
Solar Radiation Management (SRM),Gestão da Radiação Solar (GRS),,,,What should be in brackets here? SRM or GRS?,
Psyop,Operações Psicológicas,Guerra Psicológica,,,,
Suspend Parliament,Suspender Parlamento,,,,,
Space Elevator,Elevador Espacial,,,,,
Green' Container Ships,Porta-Contentores 'Verdes',,,Yes,Still in English.,
Perennial Cereals,Cereais Perenes,Cereais Permanentes,,,,
Carbon Capture and Sequestration,Captura e Sequestro de Carbono,,,,,
Mine Moon for Tritium,Minar Trítio na Lua,Minar Lua por Trítio,,,,
Ban Exotic Animal Trade,Banir Comércio de Animais Exóticos,,,,,
Restrict Air Travel,Restringir Tráfego Aéreo,,,,,
Fanonist Curriculum,Currículo Fanonista,Currículo de Fanonismo,,,,
Cloud Seeding,Semeadura de Nuvens,,,,,
"Gadgets, Fast Fashion, and Endless TV","Engenhocas, Fast Fashion e Programas de TV",,,check,,
Direct Air Capture,Captura Direta do Ar,,,,,
Continental Smart Grid,Rede Inteligente Continental,Rede Elétrica Inteligente Continental,,,,
Passive Building Mandate & Retrofit,Mandato de Edifícios Passivos e Renovação,,,,,
Reintroduce Apex Predators,Reintroduzir Superpredadores,,,,,
Antarctic Pumping,Bombeamento na Antártica,Bombeamento Antártico,,,,
Stop Food Aid,Terminar Ajuda Alimentar,,,,,
Close Borders,Fechar Fronteiras,,,,,
Underwater Biosphere,Biosfera Subaquática,,,,,
Ban High-Seas Fishing,Banir Pesca em Alto-Mar,,,,,
Abolish Prisons,Abolir Prisões,,,,,
One-Child Policy,Política de Filho Único,Política de Criança Única,,,,
Cloud Brightening,Clareamento de Nuvens,,,,,
Next-Gen Solar PV,FV Solar de Próxima Geração,PV Solar de Próxima Geração,,,"FV is ""Fotovoltaico"" which corresponds to PV, should it still be PV or FV?",
Remove Fetters on the Forces of Production!,Remover Obstáculos ás Forças de Produção!,Remover Obstáculos ás Forças Produtivas!,,,"Can also use the word ""Grilhões""",
Degrowth in Developed Regions,Decrescimento em Regiões Desenvolvidas,,,,,
Militarized Conservation,Conservação Militarizada,,,,,
Desalination Plants,Centrais de Dessalinização,,,,,
Sewage Treatment Plants,Centrais de Tratamento de Esgotos,Centrais de Tratamento de Esgoto,,,,
