Entity,Code,Year,Built-up Area (HYDE (2017)),Grazing (HYDE (2017)),Cropland (HYDE (2017))
Africa,,-10000,1,0,0
Africa,,-9000,2,0,0
Africa,,-8000,4,0,0
Africa,,-7000,7,0,7711.773
Africa,,-6000,14,0,164918.4
Africa,,-5000,30,5845343.4,839165.19
Africa,,-4000,107,11206709.32,4396548.49
Africa,,-3000,361,19398754.11,6526042.73
Africa,,-2000,621,33224739.58,6605706.6
Africa,,-1000,977,58420146.87,8585603.8
Africa,,0,2033,90431003.32,11746738.4
Africa,,100,2409,96468641.28,12469700.6
Africa,,200,2820,102255677.7,13286179.3
Africa,,300,2865,108043701.5,13610254.9
Africa,,400,2893,114815292.1,14120194.9
Africa,,500,2808,123255320.9,14855204.4
Africa,,600,2704,133191039.4,15891169.8
Africa,,700,3167,145041774,17737918.9
Africa,,800,3860,159441590.7,20184093
Africa,,900,4714,171199329.8,22340921
Africa,,1000,5851,182478247.2,24504007
Africa,,1100,6491,192777718.8,25619321
Africa,,1200,9174,202625424.4,27039863
Africa,,1300,18662,218386115.7,29795152
Africa,,1400,21258,233600808.4,31892684
Africa,,1500,24884,241899423.7,33877583.61
Africa,,1600,32913,263667781,39650249.2
Africa,,1700,38019,314629578,43621693.5
Africa,,1710,41463,307970701,43513624.4
Africa,,1720,45667,312919744,43851430.9
Africa,,1730,50272,318096584,44213570.9
Africa,,1740,55304,323443029,44601616.9
Africa,,1750,60795,329090324,45017079
Africa,,1760,66771,335132746,45461896.3
Africa,,1770,73277,341735860,45938444.1
Africa,,1780,80423,349194408,46450313.7
Africa,,1790,88267,358067288,47001082.6
Africa,,1800,96849,369497234,47595227.6
Africa,,1810,106220,385745694,49057036.5
Africa,,1820,117119,394266326,49907460.4
Africa,,1830,131508,408568902,51860681.4
Africa,,1840,147465,416712193,53938422.8
Africa,,1850,165420,426291543,56201319.6
Africa,,1860,184863,436599582,58517906.2
Africa,,1870,210064,447111780,61220747.5
Africa,,1880,244542,465074500,64768461
Africa,,1890,287167,478090610,68308209
Africa,,1900,341370,496807930,72672992
Africa,,1910,415654,518385210,77732762
Africa,,1920,451789,543652480,83493312
Africa,,1930,497545,578223050,91308942
Africa,,1940,561987,633156250,104055453
Africa,,1950,700194,753631890,131676760
Africa,,1960,951886,872642530,168869400
Africa,,1970,1392652,871184590,184069910
Africa,,1980,1941163,875479010,193629540
Africa,,1990,2754612,885376680,207217500
Africa,,2000,3770593,880636190,223549680
Africa,,2001,3892685,883412170,225574920
Africa,,2002,4017714,884140100,229082960
Africa,,2003,4146375,885051460,235530300
Africa,,2004,4278144,886597610,238157590
Africa,,2005,4413136,889496200,243916090
Africa,,2006,4553057,890239700,247221640
Africa,,2007,4693612,889848040,249615150
Africa,,2008,4836887,889855200,251366600
Africa,,2009,4982419,889936240,253137070
Africa,,2010,5129589,889692050,258603450
Africa,,2011,5300528,889380760,264645210
Africa,,2012,5483463,889149440,273621250
Africa,,2013,5664734,889008200,277080800
Africa,,2014,5854377,888676640,284290080
Africa,,2015,6048972,888369190,290790517
Africa,,2016,6235010,888088030,296972060
Brazil,BRA,-10000,0,0,0
Brazil,BRA,-9000,0,0,0
Brazil,BRA,-8000,0,0,0
Brazil,BRA,-7000,0,0,0
Brazil,BRA,-6000,0,0,0
Brazil,BRA,-5000,0,0,0
Brazil,BRA,-4000,0,0,8300.002
Brazil,BRA,-3000,0,0,17200.08
Brazil,BRA,-2000,0,0,33700.01
Brazil,BRA,-1000,0,0,67800.18
Brazil,BRA,0,0,0,135200.6
Brazil,BRA,100,0,0,144700.1
Brazil,BRA,200,0,0,154399.8
Brazil,BRA,300,0,0,165100.2
Brazil,BRA,400,1,0,176600.1
Brazil,BRA,500,3,0,188799.7
Brazil,BRA,600,8,0,201800.1
Brazil,BRA,700,26,0,215501
Brazil,BRA,800,83,0,230301.5
Brazil,BRA,900,254,0,234302.2
Brazil,BRA,1000,775,0,238401.9
Brazil,BRA,1100,2577,0,264001.8
Brazil,BRA,1200,8488,0,289801.8
Brazil,BRA,1300,27736,0,315602.3
Brazil,BRA,1400,33808,0,341303.4
Brazil,BRA,1500,42672,0,393903.5
Brazil,BRA,1600,2214,487941.7,104211.8
Brazil,BRA,1700,1506,975557.4,136523.2
Brazil,BRA,1710,1897,1062206,148625.8
Brazil,BRA,1720,2403,1157420,161027.6
Brazil,BRA,1730,3059,1262252,175230.3
Brazil,BRA,1740,3916,1377917,190632.4
Brazil,BRA,1750,5039,1505846,207634.6
Brazil,BRA,1760,6519,1647726,226837
Brazil,BRA,1770,8477,1805540,247740.7
Brazil,BRA,1780,11080,1981687,271543.7
Brazil,BRA,1790,14553,2179004,298147.3
Brazil,BRA,1800,19205,2575721,328352.4
Brazil,BRA,1810,26933,3114455,406654
Brazil,BRA,1820,36226,4333633,499257.5
Brazil,BRA,1830,50385,5574999,634061.1
Brazil,BRA,1840,66989,6946312,769466.4
Brazil,BRA,1850,86396,8681480,906372.6
Brazil,BRA,1860,109019,10887290,1044279
Brazil,BRA,1870,135355,13707340,1183586
Brazil,BRA,1880,164919,17340120,1316899
Brazil,BRA,1890,224371,22063180,1635807
Brazil,BRA,1900,297754,28283860,1981818
Brazil,BRA,1910,411076,36620820,2498129
Brazil,BRA,1920,583997,48058860,6668145
Brazil,BRA,1930,794940,64236580,12488950
Brazil,BRA,1940,828490,87995140,18261130
Brazil,BRA,1950,1072701,107966300,19408210
Brazil,BRA,1960,1445129,122140400,28396170
Brazil,BRA,1970,1627064,154142700,41259300
Brazil,BRA,1980,1627176,171129200,52864040
Brazil,BRA,1990,1713134,184202800,57408610
Brazil,BRA,2000,2251848,196211900,65200720
Brazil,BRA,2001,2311445,197007100,66465700
Brazil,BRA,2002,2373669,197005800,68868200
Brazil,BRA,2003,2438251,196500000,71969340
Brazil,BRA,2004,2505154,196501400,75632110
Brazil,BRA,2005,2574891,196001100,76432510
Brazil,BRA,2006,2646760,195998900,76784310
Brazil,BRA,2007,2721137,196002100,75637960
Brazil,BRA,2008,2797571,195998000,77500460
Brazil,BRA,2009,2876440,195997500,77540080
Brazil,BRA,2010,2957258,195998100,77463440
Brazil,BRA,2011,3021685,196006300,79373460
Brazil,BRA,2012,3087269,195986600,79605250
Brazil,BRA,2013,3153484,195987000,80109860
Brazil,BRA,2014,3221165,196007600,81002370
Brazil,BRA,2015,3289368,196005400,81855260
Brazil,BRA,2016,3358012,196006800,82297200
Canada,CAN,-10000,0,0,0
Canada,CAN,-9000,0,0,0
Canada,CAN,-8000,0,0,0
Canada,CAN,-7000,0,0,0
Canada,CAN,-6000,0,0,0
Canada,CAN,-5000,0,0,0
Canada,CAN,-4000,0,0,0
Canada,CAN,-3000,0,0,0
Canada,CAN,-2000,0,0,0
Canada,CAN,-1000,0,0,0
Canada,CAN,0,0,0,0
Canada,CAN,100,0,0,0
Canada,CAN,200,0,0,0
Canada,CAN,300,0,0,0
Canada,CAN,400,0,0,0
Canada,CAN,500,0,0,0
Canada,CAN,600,0,0,0
Canada,CAN,700,0,0,0
Canada,CAN,800,0,0,0
Canada,CAN,900,1,0,0
Canada,CAN,1000,3,0,0
Canada,CAN,1100,10,0,0
Canada,CAN,1200,37,0,0
Canada,CAN,1300,126,0,0
Canada,CAN,1400,140,0,0
Canada,CAN,1500,182,0,999.9996
Canada,CAN,1600,211,0,999.9993
Canada,CAN,1700,211,0,22503.2
Canada,CAN,1710,255,0,29551.96
Canada,CAN,1720,323,0,39420.53
Canada,CAN,1730,408,0,51666.65
Canada,CAN,1740,513,0,69021.09
Canada,CAN,1750,643,0,91443.15
Canada,CAN,1760,807,0,122193.3
Canada,CAN,1770,1015,40916.88,163927.7
Canada,CAN,1780,1283,61375.34,220271.4
Canada,CAN,1790,1632,92062.76,297921.1
Canada,CAN,1800,2095,138095,434376
Canada,CAN,1810,2716,225502.6,593860.8
Canada,CAN,1820,3594,338259.6,815682.2
Canada,CAN,1830,4818,507372.8,1125665
Canada,CAN,1840,6553,761080.3,1563047
Canada,CAN,1850,9045,1141580,2177984
Canada,CAN,1860,15015,1712395,3540646
Canada,CAN,1870,20858,2574614,4908126
Canada,CAN,1880,26608,3137105,6088163
Canada,CAN,1890,34026,4012424,7635577
Canada,CAN,1900,39728,4046474,8389981
Canada,CAN,1910,53572,5858334,14486810
Canada,CAN,1920,67121,9629938,20241880
Canada,CAN,1930,81929,12290640,23599910
Canada,CAN,1940,94366,15739000,33177430
Canada,CAN,1950,114555,15738500,42754930
Canada,CAN,1960,162245,17035600,52332120
Canada,CAN,1970,219559,16060980,52605140
Canada,CAN,1980,252619,15920900,50295330
Canada,CAN,1990,294428,15902950,51753980
Canada,CAN,2000,344901,15435010,52165290
Canada,CAN,2001,349776,15390940,52109620
Canada,CAN,2002,354677,15399980,52116440
Canada,CAN,2003,359603,15410020,52123640
Canada,CAN,2004,364552,15419930,52130540
Canada,CAN,2005,369430,15429930,52137700
Canada,CAN,2006,374529,15441030,52144590
Canada,CAN,2007,379555,15293340,52148770
Canada,CAN,2008,384604,15145690,52148560
Canada,CAN,2009,389679,14998150,52148520
Canada,CAN,2010,394778,14850560,48416990
Canada,CAN,2011,401465,14702980,47893360
Canada,CAN,2012,408181,14600010,50744760
Canada,CAN,2013,414926,14437500,48151490
Canada,CAN,2014,421859,14300740,47771180
Canada,CAN,2015,428767,14165370,48285400
Canada,CAN,2016,435730,14030090,47912430
China,CHN,-10000,18,0,0
China,CHN,-9000,37,0,0
China,CHN,-8000,77,0,693.7143
China,CHN,-7000,160,0,30821.84
China,CHN,-6000,333,5489072,125557.9
China,CHN,-5000,693,12730610,469682.8
China,CHN,-4000,1444,20160350,1348454
China,CHN,-3000,3009,32160110,3010894
China,CHN,-2000,6269,51654220,6214298
China,CHN,-1000,7836,55202760,12276030
China,CHN,0,43700,93407580,24351020
China,CHN,100,48425,45632520,22071750
China,CHN,200,50813,42398070,18969780
China,CHN,300,32221,32442650,10020820
China,CHN,400,44147,37856420,13854250
China,CHN,500,54813,42897680,17448200
China,CHN,600,73865,50981610,23841650
China,CHN,700,61302,47942910,20263830
China,CHN,800,48140,44769640,16332830
China,CHN,900,58292,50309470,20088520
China,CHN,1000,54115,50854570,19230660
China,CHN,1100,173384,89480970,47339380
China,CHN,1200,213460,107312900,55273720
China,CHN,1300,142125,99997470,44203680
China,CHN,1400,126657,79401690,40267840
China,CHN,1500,162220,90962910,52407230
China,CHN,1600,174317,95623790,57237010
China,CHN,1700,177696,97590760,59931520
China,CHN,1710,186190,100935100,62584360
China,CHN,1720,213858,110377700,65516880
China,CHN,1730,227548,115725300,66873310
China,CHN,1740,256132,125497000,67549910
China,CHN,1750,319259,145498200,68749230
China,CHN,1760,352916,156823200,69536800
China,CHN,1770,394385,170476600,70492680
China,CHN,1780,493558,201199000,72408270
China,CHN,1790,540408,214923500,74690170
China,CHN,1800,534330,213102800,76837620
China,CHN,1810,631730,240995400,80238340
China,CHN,1820,658856,248448500,82792720
China,CHN,1830,732797,269345700,84013220
China,CHN,1840,783471,283954600,84517850
China,CHN,1850,827254,296505700,85017540
China,CHN,1860,822849,295754100,85349270
China,CHN,1870,708485,259615800,85247950
China,CHN,1880,725417,259953000,85675320
China,CHN,1890,790555,269900200,88068460
China,CHN,1900,961592,286843100,90565140
China,CHN,1910,1657275,303815700,93649150
China,CHN,1920,1845612,315714200,99396590
China,CHN,1930,1871337,312833800,104160300
China,CHN,1940,1885860,315023000,104515300
China,CHN,1950,1904563,310100600,105177100
China,CHN,1960,2046580,367269500,106024000
China,CHN,1970,2278273,402281800,105374400
China,CHN,1980,2483942,457916800,105409200
China,CHN,1990,3364186,524780400,132632100
China,CHN,2000,4326265,520041100,130374400
China,CHN,2001,4448607,519956900,132767400
China,CHN,2002,4573549,519961600,131769800
China,CHN,2003,4701665,506721500,129862500
China,CHN,2004,4840469,506610100,135770000
China,CHN,2005,4982801,506388100,132229400
China,CHN,2006,5122232,507183600,132197100
China,CHN,2007,5272332,507136800,123922100
China,CHN,2008,5420433,506942400,123984400
China,CHN,2009,5573448,506688700,125784200
China,CHN,2010,5746775,506605000,123657600
China,CHN,2011,5854007,506528400,123649400
China,CHN,2012,5962156,506378500,123680800
China,CHN,2013,6071699,506242600,123328800
China,CHN,2014,6189364,506150500,122554500
China,CHN,2015,6309932,506024200,122615400
China,CHN,2016,6426391,505894200,122208100
Europe (excl. Russia),,-10000,0,0,0
Europe (excl. Russia),,-9000,0,0,0
Europe (excl. Russia),,-8000,1,0,0
Europe (excl. Russia),,-7000,4,0,97443.7047
Europe (excl. Russia),,-6000,22,94000.1,457490.459
Europe (excl. Russia),,-5000,134,866001.2,2054581.47
Europe (excl. Russia),,-4000,742,1474001.6,3895038.5
Europe (excl. Russia),,-3000,1444,2544001.5,7385877.7
Europe (excl. Russia),,-2000,4496,5303887.4,14809414.6
Europe (excl. Russia),,-1000,9781,9668756.9,24993724.3
Europe (excl. Russia),,0,32812,21276659.3,46435539.2
