English,Translation
1 planning cycle left,残り１計画サイクル
[b]Locks[/b] %{tag},[locks]%{tag}は[b]選択不可[/b]になる。
[b]Unlocks[/b] the %{tag} process.,%{tag}が[b]選択可能[/b]になる。
[b]Unlocks[/b] the %{tag} project.,%{tag}が[b]選択可能[/b]になる。
[b]Unlocks[/b] %{name}.,%{name}が[b]選択可能[/b]になる。
A Planetary Crisis Planning Game,惑星危機管理ゲーム
A parliamentary majority is no longer required for any project.,どの政策を実行するにも議会の過半数の承認は必要なくなる。
Accelerates regional development throughout the world.,世界中の開発を加速する。
Add,カードの追加
Add some cards to get started,カードを追加してスタート
Ally,味方
"Animal calorie demand will change from [i]%{iconACals}[/i]%{prevDemandACals} to [i]%{iconACals}[/i]%{nextDemandACals} and plant calorie demand will change from [i]%{iconPCals}[/i]%{prevDemandPCals} to [i]%{iconPCals}[/i]%{nextDemandPCals}.","動物のカロリー需要は[i]%{iconACals}[/i]%{prevDemandACals} から [i]%{iconACals}[/i]%{nextDemandACals} に変化し、、植物のカロリー需要は[i]%{iconPCals}[/i]%{prevDemandPCals} から [i]%{iconPCals}[/i]%{nextDemandPCals} に変化する。"
At current usage rates the estimated supply is expected to last indefinitely.,現在の使用率から、供給が尽きることはないと推定されている。
At current usage rates the estimated supply is expected to last %{years} year(s).,現在の使用率では、推定供給量は %{years} 年間持続する見込みです。
At current usage rates the estimated supply is expected to last %{years} years.,現在の使用率から、 あと%{years} 年間、供給が可能であると推定されている。
Average sea levels have risen by %{rise}m and are rising at a rate of %{rate}mm per year.,海面水位は%{rise}m上昇した。1年間あたり%{rate}mmずつ上昇している。
Avg. Habitability,全体の住みやすさ
Avg. Living Standards,全体の生活水準
Back,戻る
Based on the book,原作
"Because of opposition, this requires a majority in parliament.",反対意見があるため、施行には議会での過半数の承認が必要。
Because of resource availability this process can only make up to %{maxPercent}% of production.,使用可能な資源の都合により、この方法では生産量の%{maxPercent}%までしかまかなうことができない。
Because of resource availability this process can only make up to %{maxPercent}% of production. %{suggestion},使用可能な資源の都合により、この方法では生産量の%{maxPercent}％までしかまかなうことができない。%{suggestion}
Biodiversity is flourishing.,生物多様性は豊かな状況である。.
Biodiversity is plummeting.,生物多様性は壊滅的な状況である。.
Biodiversity is recovering.,生物多様性は回復しつつある。.
Biodiversity is stabilizing.,生物多様性は安定を取り戻している。.
Biodiversity is struggling.,生物多様性は苦境に立たされている。.
