English,Translation
1 planning cycle left,1 ciclo de planificação restante
<strong>Locks</strong> {tag},<strong>Bloqueia</strong> {tag}
<strong>Unlocks</strong> the {tag} process.,<strong>Desbloqueia</strong> o processo {tag}.
<strong>Unlocks</strong> the {tag} project.,<strong>Desbloqueia</strong> o projeto {tag}.
<strong>Unlocks</strong> {name}.,<strong>Desbloqueia</strong> {name}.
A Planetary Crisis Planning Game,Um Jogo de Planificação em Crises Planetárias
A parliamentary majority is no longer required for any project.,Uma maioria parlamentar não é mais necessária para aprovar projetos.
Accelerates regional development throughout the world.,Acelera o desenvolvimento regional no mundo todo.
Add,Adicionar
Add some cards to get started,"Adiciona alguns cartões, para começar"
Ally,Aliado
"Animal calorie demand will change from <img src=""{iconACals}"">{prevDemandACals} to <img src=""{iconACals}"">{nextDemandACals} and plant calorie demand will change from <img src=""{iconPCals}"">{prevDemandPCals} to <img src=""{iconPCals}"">{nextDemandPCals}.","A demanda calórica animal mudará de <img src=""{iconACals}"">{prevDemandACals} para <img src=""{iconACals}"">{nextDemandACals} e a demanda calórica vegetal mudará de <img src=""{iconPCals}"">{prevDemandPCals} para <img src=""{iconPCals}"">{nextDemandPCals}."
At current usage rates the estimated supply is expected to last indefinitely.,"Com as taxas de uso atuais, espera-se que o fornecimento dure {estimate} anos."
At current usage rates the estimated supply is expected to last {years} year(s).,"Às taxas de uso atuais, a estimativa é que o fornecimento dure {years} ano(s)."
At current usage rates the estimated supply is expected to last {years} years.,"De acordo com os níveis de uso atuais, espera-se que o fornecimento estimado dure {years} anos."
Average sea levels have risen by {rise}m and are rising at a rate of {rate}mm per year.,O nível médio do mar aumentou {rise}m e está a subir a um ritmo de {rate}mm por ano.
Avg. Habitability,Habitabilidade Média
Avg. Living Standards,Padrão de Vida Médio
Back,Voltar
Based on the book,Inspirado no livro
"Because of opposition, this requires a majority in parliament.","Devido à oposição, isto necessita de uma maioria em parlamento."
Because of resource availability this process can only make up to {maxPercent}% of production.,"Devido à disponibilidade de recursos, esse processo pode representar apenas {maxPercent}% da produção."
Because of resource availability this process can only make up to {maxPercent}% of production. {suggestion},"Devido à disponibilidade de recursos, este processo pode representar apenas {maxPercent}% da produção. {suggestion}"
Biodiversity is flourishing.,A biodiversidade está a florescer.
Biodiversity is plummeting.,A biodiversidade está a despencar.
Biodiversity is recovering.,A biodiversidade está a recuperar-se.
Biodiversity is stabilizing.,A biodiversidade está a estabilizar-se.
Biodiversity is struggling.,A biodiversidade está instável.
Biodiversity is suffering.,A biodiversidade está a sofrer.
Biodiversity: The co-inhabitants of the planet. The current biodiversity threat index is {amount}.,Biodiversidade: Os co-habitantes do planeta. O índice atual de ameaça à biodiversidade é {amount}.
Booting Up,A Iniciar
Building,A construir
CH4,CH4
CO2,CO2
CO2 Emissions/Yr,Emissões de CO2/Ano
Change Production,Alterar Produção
Change the amount of land under protection by <strong>{percent}%</strong>.,Altere a quantidade de terra protegida em <strong>{percent}%</strong>.
Changes,Alterações
Changes demand for {name} by <strong>{percent}%.</strong>,Altera a demanda por {name} em <strong>{percent}%.</strong>
Changes demand for {name} by an unknown amount.,Altera a demanda por {name} por um valor indefinido.
Changes emissions for {name} by an unknown amount.,Altera as emissões de {name} por um valor indefinido.
