English,Translation
1 planning cycle left,เหลือ 1 รอบการวางแผน
[b]Locks[/b] %{tag},[b]ล็อค[/b] %{tag}
[b]Unlocks[/b] the %{tag} process.,[b]ปลดล็อก[/b] กระบวนการ %{tag}
[b]Unlocks[/b] the %{tag} project.,[b] ปลดล็อก [/b] โครงการ %{tag}
[b]Unlocks[/b] %{name}.,[b]ปลดล็อก[/b] %{name}.
A Planetary Crisis Planning Game,เกมวางแผนวิกฤตการณ์ดาวเคราะห์
A parliamentary majority is no longer required for any project.,เสียงข้างมากในรัฐสภาไม่จำเป็นสำหรับโครงการใด ๆ อีกต่อไป
Accelerates regional development throughout the world.,เร่งการพัฒนาระดับภูมิภาคทั่วโลก
Add,เพิ่ม
Add some cards to get started,เพิ่มการ์ดเพื่อเริ่มต้น
Ally,พันธมิตร
"Animal calorie demand will change from [i]%{iconACals}[/i]%{prevDemandACals} to [i]%{iconACals}[/i]%{nextDemandACals} and plant calorie demand will change from [i]%{iconPCals}[/i]%{prevDemandPCals} to [i]%{iconPCals}[/i]%{nextDemandPCals}.","ความต้องการแคลอรี่ของสัตว์จะเปลี่ยนจาก [i]%{iconACals}[/i]%{prevDemandACals} สู่ [i]%{iconACals}[/i]%{nextDemandACals} และความต้องการแคลอรี่ของพืชจะเปลี่ยนจาก [i]%{iconPCals}[/i]%{prevDemandPCals} สู่ [i]%{iconPCals}[/i]%{nextDemandPCals}."
At current usage rates the estimated supply is expected to last indefinitely.,ณ อัตราการใช้งานปัจจุบัน คาดว่าอุปทานจะมีอยู่อย่างไม่จำกัด
At current usage rates the estimated supply is expected to last %{years} year(s).,ที่อัตราการใช้งานปัจจุบัน คาดว่าปริมาณสำรองที่มีจะใช้งานได้อีก %{years} ปี
At current usage rates the estimated supply is expected to last %{years} years.,ในอัตราการใช้งานปัจจุบันอุปทานโดยประมาณคาดว่าจะมีอายุการใช้งาน %{years} ปี
Average sea levels have risen by %{rise}m and are rising at a rate of %{rate}mm per year.,ค่าเฉลี่ยระดับน้ำทะเลเพิ่มขึ้นโดย %{rise} ม. และเพิ่มขึ้นในอัตรา %{rate} มม. ต่อปี
Avg. Habitability,สภาพที่จะอยู่อาศัยได้โดยเฉลี่ย
Avg. Living Standards,มาตรฐานการดำรงชีพโดยเฉลี่ย
Back,กลับ
Based on the book,สร้างจากหนังสือ
"Because of opposition, this requires a majority in parliament.",เนื่องจากมีการคัดค้าน จำเป็นต้องใช้เสียงข้างมากในรัฐสภา
Because of resource availability this process can only make up to %{maxPercent}% of production.,เนื่องจากความพร้อมใช้งานของทรัพยากรกระบวนการนี้สามารถสร้างได้ถึงเพียง %{maxPercent}% ของการผลิต
Because of resource availability this process can only make up to %{maxPercent}% of production. %{suggestion},เนื่องจากความพร้อมใช้งานของทรัพยากรกระบวนการนี้สามารถสร้างได้ถึง %{maxPercent}% ของการผลิตเท่านั้น %{suggestion}
Biodiversity is flourishing.,ความหลากหลายทางชีวภาพกำลังเฟื่องฟู.
Biodiversity is plummeting.,ความหลากหลายทางชีวภาพกำลังลดลง.
Biodiversity is recovering.,ความหลากหลายทางชีวภาพกำลังฟื้นตัว.
Biodiversity is stabilizing.,ความหลากหลายทางชีวภาพกำลังมีความเสถียร.
Biodiversity is struggling.,ความหลากหลายทางชีวภาพมีความตะกุกตะกัก.
Biodiversity is suffering.,ความหลากหลายทางชีวภาพกำลังตกอยู่ในที่นั่งลำบาก.
Biodiversity: The co-inhabitants of the planet. The current biodiversity threat index is %{amount}.,ความหลากหลายทางชีวภาพ: ผู้ร่วมอาศัยในดาวโลก ดัชนีภัยคุกคามความหลากหลายทางชีวภาพในปัจจุบันคือ %{amount}
Booting Up,กำลังเริ่มระบบ
Building,กำลังสร้าง
CH4,CH4
CO2,CO2
CO2 Emissions/Yr,การปล่อยคาร์บอนไดออกไซด์ต่อปี
Change Production,เปลี่ยนการผลิต
Change the amount of land under protection by [b]%{percent}%[/b].,เปลี่ยนจำนวนพื้นที่ที่ได้รับการคุ้มครองเป็น [b]%{percent}%[/b]
Changes,การเปลี่ยนแปลง
Changes demand for %{name} by [b]%{percent}%.[/b],เปลี่ยนความต้องการ %{name} [b]%{percent}%[/b]
Changes demand for %{name} by an unknown amount.,เปลี่ยนแปลงอุปสงค์สำหรับ %{name} ไปโดยจำนวนที่ไม่ทราบได้
Changes emissions for %{name} by an unknown amount.,เปลี่ยนแปลงการปล่อยมลพิษสำหรับ %{name} ประมาณนึง
Changes the biodiversity pressure for these processes by [b]%{amount}.[/b],เปลี่ยนแปลงความกดดันด้านความหลากหลายทางชีวภาพสำหรับกระบวนการเหล่านี้ [b]%{amount}[/b]
Changes the output for these processes by %{percent}% without changing their impacts.,เปลี่ยนผลของกระบวนการเหล่านี้ %{percent}% โดยไม่เปลี่ยนผลกระทบ
Changes the output for this process by %{percent}% with no change in impacts.,เปลี่ยนผลของกระบวนการนี้ %{percent}% โดยไม่มีผลต่อผลกระทบ
Changes %{label} for %{name} by an unknown amount.,เปลี่ยน %{label} สำหรับ %{name} สักประมาณนึง
Completed,สมบูรณ์
Completed Projects,โครงการที่เสร็จสมบูรณ์
Completed Request: Ban %{name},คำขอเสร็จสมบูรณ์: แบน %{name}
Completed Request: Implement %{name},คำขอเสร็จสมบูรณ์: ใช้ %{name}
Completed Request: Stop %{name},คำขอเสร็จสมบูรณ์: หยุด %{name}
Completed Request: Unban %{name},คำขอเสร็จสมบูรณ์: ปลดแบน %{name}
Completed Requests,คำขอที่เสร็จสมบูรณ์
Concept,แนวคิด
Contentedness,ความพึงพอใจ
Continue,ดำเนินการต่อ
