English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Speakers,0,,0,0,,Y
The Farmer,ชาวนา,ชาวนา,ชาวนา,,,
The Doctor,แพทย์,แพทย์,แพทย์,,,
The Posadist,โพซาดิสต์,นักปฏิวัติของชนชั้นกรรมาชีพ,posadist,,,
The Doom Cultist,ผู้เชื่อลัทธิสิ้นโลก,,นักลัทธิการลงโทษ,,,
The Leather Underground,กลุ่มปฏิวัติ,,หนังใต้ดิน,,,
The Climatologist,นักอุตุนิยมวิทยา,นักอุตุนิยมวิทยา,นักอุตุนิยมวิทยา,,,
The Economist,นักเศรษฐศาสตร์,นักเศรษฐศาสตร์,นักเศรษฐศาสตร์,,,
The Engineer,วิศวกร,วิศวกร,วิศวกร,,,
The Geoengineer,วิศวกรธรณี,วิศวกรธรณี,Geoengineer,,,
The Hero,วีรชน,ฮีไร่,ฮีโร่,,,
Gossy,กอสซี่,,สิ่งที่ไม่ดี,,,
The Authoritarian,เผด็จการ,ผู้นำเผด็จการ,เผด็จการ,,,
The Spacer,นักล่าอาณานิคมอวกาศ,นักล่าอาณานิคมอวกาศ,ตัวเว้นวรรค,,,
The Animal Liberationist,นักต่อสู้เพื่อสิทธิสัตว์,นักต่อสู้เพื่อสิทธิสัตว์,นักเสรีนิยมสัตว์,,,
The Consumerist,นักบริโภคนิยม,นักบริโภคนิยม,ผู้บริโภค,,,
The Accelerationist,นักก้าวหน้านิยม,,นักเร่งความเร็ว,,,
The Environmentalist,นักอนุรักษ์สิ่งแวดล้อม,นักสิ่งแวดล้อม,นักสิ่งแวดล้อม,,,
The Ecofeminist,นักสตรีนิเวศนิยม,นักสตรีนิยมสายนิเวศ,Ecofeminist,,,
The Utopian,ชาวยูโทเปีย,นักอุดมคตินิยม,ยูโทเปีย,,,
The Citizen,พลเมือง,พลเมือง,พลเมือง,,,
[GAME],[GAME],,[เกม],,,
The Malthusian,ชาวลัทธิมัลธูเซียน,,Malthusian,,,
The Earth Liberation Front,แนวร่วมปลดปล่อยโลก,แนวร่วมปลดปล่อยโลกทางสิ่งแวดล้อม,ด้านหน้าปลดปล่อยโลก,,,
The Ecologist,นักนิเวศวิทยา,นักนิเวศวิทยา,นักนิเวศวิทยา,,,
The Alien,มนุษย์ต่างดาว,เอเลี่ยน,มนุษย์ต่างดาว,,Alien as a human?,
The Fanonist,ชาวลัทธิฟานอน,นักต่อต้านลัทธิล่าอาณานิคม,Fanonist,,,
The Soldier,ทหาร,ทหาร,ทหาร,,,
The Wretched,คนอนาถา,คนอนาถา,คนอนาถ,,,
Regions,0,,0,0,,Y
Southern Asia,เอเชียใต้,เอเชียใต้,เอเชียใต้,,,
Southern Europe,ยุโรปตอนใต้,ยุโรปใต้,ยุโรปตอนใต้,,,
Western Asia,เอเชียตะวันตก,ตะวันออกกลาง (most popular term) เอเชียตะวันตกเฉียงใต้ (politically correct),เอเชียตะวันตก,,,
Southern Africa,แอฟริกาใต้,แอฟริกาใต้,แอฟริกาใต้,,,
Central Asia,เอเชียกลาง,เอเชียกลาง,เอเชียกลาง,,,
Oceania,โอเชียเนีย,โอเชียเนีย,มหาสมุทร,,,
Northern Africa,แอฟริกาเหนือ,แอฟริกาเหนือ,แอฟริกาเหนือ,,,
Northern America,อเมริกาเหนือ,อเมริกาเหนือ,อเมริกาเหนือ,,,
Central America,อเมริกากลาง,อเมริกากลาง,อเมริกากลาง,,,
Southern America,อเมริกาใต้,อเมริกาใต้,อเมริกาตอนใต้,,,
Eastern Africa,แอฟริกาตะวันออก,แอฟริกาตะวันออก,แอฟริกาตะวันออก,,,
Eastern Asia,เอเชียตะวันออก,เอเซียอาคเนย์ (most popular term) เอเชียตะวันออก (the other term),เอเชียตะวันออก,,,
Caribbean,แคริบเบียน,แคริบเบียน,ทะเลแคริบเบียน,,,
Western Europe,ยุโรปตะวันตก,ยุโรปตะวันตก,ยุโรปตะวันตก,,,
Australasia,ออสตราเลเชีย,ออสตราเลเชีย,ออสเตรเลีย,,,
Eastern Europe,ยุโรปตะวันออก,ยุโรปตะวันออก,ยุโรปตะวันออก,,,
Northern Europe,ยุโรปเหนือ,ยุโรปเหนือ,ยุโรปเหนือ,,,
Central Africa,แอฟริกากลาง,แอฟริกากลาง,แอฟริกาตอนกลาง,,,
Western Africa,แอฟริกาตะวันตก,แอฟริกาตะวันตก,แอฟริกาตะวันตก,,,
South-eastern Asia,เอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,เอเชียตะวันออกเฉียงใต้,,,
Projects,0,,0,0,,Y
Crack Down on Crypto-Mining,ปราบปรามการทำเหมืองคริปโต,,ปราบปรามการขุด crypto,,,
Feminist Science and Technology Studies,การศึกษาวิทยาศาสตร์เชิงสตรีนิยมและเทคโนโลยี,,การศึกษาวิทยาศาสตร์สตรีและเทคโนโลยี,,,
Consumerist Curriculum,หลักสูตรผู้บริโภค,,หลักสูตรผู้บริโภค,,,
Multistrata Agroforestry,การเกษตรป่าไม้หลายชั้น,,agroforestry Multistrata,,,
Animal Liberationist Curriculum,หลักสูตรปลดแอกสัตว์,,หลักสูตร Liberationist Animal Liberationist,,,
Marine Protected Areas,พื้นที่คุ้มครองทางทะเล,,พื้นที่คุ้มครองทางทะเล,,,
Flexitarian,การกินมังสวิรัติแบบยืดหยุ่น,,ที่ยืดหยุ่น,,,
Fast-Breeder Reactor,เครื่องปฏิกรณ์ฟาสต์บรีเดอร์,,เครื่องปฏิกรณ์แบบเร็ว,,,
Malthusian Curriculum,หลักสูตรมัลธูเซียน,,หลักสูตร Malthusian,,,
Phase Out Commercial Fishing,เลิกประมงเชิงพาณิชย์,,เลิกประมงเชิงพาณิชย์,,,
Biochar,ถ่านชีวภาพ,,ชีวภาพ,,,
Rotational Grazing,การปล่อยสัตว์ลงแทะเล็มแบบหมุนเวียน,,การแทะเล็มแบบหมุน,,,
Cellular Meat,เนื้อเพาะจากเซลล์,,เนื้อเซลล์,,,
Expand Recycling,การรีไซเคิลแบบขยาย,,ขยายการรีไซเคิล,,,
Meatless Mondays,โครงการงดเนื้อสัตว์ทุกวันจันทร์,,วันจันทร์ที่ไม่มีเนื้อสัตว์,,,
Agricultural Robotics,หุ่นยนต์เกษตรกรรม,,หุ่นยนต์เกษตรกรรม,,,
Advances in Ecosystem Modelling,ความก้าวหน้าในการสร้างแบบจำลองระบบนิเวศ,,ความก้าวหน้าในการสร้างแบบจำลองระบบนิเวศ,,,
Vegetarian Mandate,ประกาศิตมังสวิรัต,,อาณัติมังสวิรัติ,,,
Relocate Industry to Space,ย้ายอุตสาหกรรมไปยังอวกาศ,,ย้ายอุตสาหกรรมไปยังอวกาศ,,,
Cap and Trade Program for Children,การค้าขายแลกเปลี่ยนแก๊สเรือนกระจกสำหรับเด็ก,,CAP และโปรแกรมการค้าสำหรับเด็ก,,,
Luxury for All,ความหรูหราที่ทุกคนเข้าถึงได้,,หรูหราสำหรับทุกคน,,,
High-Density Batteries,แบตเตอรี่ความหนาแน่นสูง,,แบตเตอรี่ที่มีความหนาแน่นสูง,,,
Thorium Reactor,เครื่องปฏิกรณ์ทอเรียม,,เครื่องปฏิกรณ์ทอเรียม,,,
3rd Generation Biofuels,เชื้อเพลิงชีวภาพรุ่นที่ 3,,เชื้อเพลิงชีวภาพรุ่นที่ 3,,,
Restore Desert Habitats,ฟื้นฟูที่อยู่อาศัยในทะเลทราย,,ฟื้นฟูที่อยู่อาศัยทะเลทราย,,,
Ecosocialist Video Game,วิดีโอเกมเชิงนิเวศวิทยา,,วิดีโอเกมเชิงนิเวศวิทยา,,,
Utopian Curriculum,หลักสูตรยูโทเปีย,,หลักสูตรยูโทเปีย,,,
Universal Family Planning,การวางแผนครอบครัวแบบสากล,,การวางแผนครอบครัวสากล,,,
Factory Farming Reform,การปฏิรูปการทำฟาร์มโรงงาน,,การปฏิรูปการทำฟาร์มจากโรงงาน,,,
Carbon-Negative Concrete,คอนกรีตรักษ์โลก,,คอนกรีตคาร์บอนลบ,,,
Electric-Arc Furnaces,กระบวนการผลิตเหล็กด้วยวิธีอาร์คไฟฟ้า,,เตาเผาไฟฟ้า,,,
Mass Electrification,การเปลี่ยนให้เป็นระบบไฟฟ้าในวงกว้าง,,กระแสไฟฟ้า,,,
Ban Non-Indigenous Hunting,ห้ามผู้ไม่ใช่ชนพื้นเมืองล่าสัตว์,,ห้ามการล่าสัตว์ที่ไม่ใช่ชนพื้นเมือง,,,
Vegan Mandate,ประกาศิตวีแกน,,อาณัติมังสวิรัติ,,,
De-Extinction Research,งานวิจัยต้านการสูญพันธุ์,,การวิจัยการลดทอน,,,
Open-Ocean Fish Farms,ฟาร์มปลามหาสมุทรแบบเปิด,,ฟาร์มปลาเปิดมหาสมุทร,,,
Energy Conservation Campaign,แคมเปญการอนุรักษ์พลังงาน,,แคมเปญการอนุรักษ์พลังงาน,,,
Floating Wind Turbines,กังหันลมลอยน้ำ,,กังหันลมลอย,,,
Indigenous Sovereignty,อำนาจอธิปไตยของชนพื้นเมือง,,อำนาจอธิปไตยของชนพื้นเมือง,,,
Green Hydrogen,ไฮโดรเจนสะอาด,,ไฮโดรเจนสีเขียว,,,
Ocean Iron Fertilization,การบำรุงเลี้ยงธาตุเหล็กในมหาสมุทร,,การปฏิสนธิเหล็ก,,,
Mission to Titan,ภารกิจสู่ไททัน,,ภารกิจสู่ไททัน,,,
Phage Therapy,การรักษาโดยใช้ไวรัสกำจัดแบคทีเรีย,,การบำบัดด้วย phage,,,
Space Colony,อาณานิคมอวกาศ,,อาณานิคมอวกาศ,,,
Reconcile Town and Country,การกระทบยอดเมืองและประเทศ,,คืนดีกับเมืองและประเทศ,,,
Accelerationist Curriculum,หลักสูตรก้าวหน้านิยม,,หลักสูตรการเร่งความเร็ว,,,
Masculinity De-Tox,ดีท็อกซ์ปิตาธิปไตย,,ความเป็นชาย de-tox,,,
Battery Storage Network,โครงข่ายจัดเก็บแบตเตอรี่,,เครือข่ายการจัดเก็บแบตเตอรี่,,,
Electrify Road Vehicles,ถนนไฟฟ้า,,ยานพาหนะถนนไฟฟ้า,,,
Champagne Socialism,สังคมนิยมแชมเปญ,,สังคมนิยมแชมเปญ,,,
The Ark,อาร์ค,,อาร์ค,,,
Global Demilitarization,การลดกำลังทหารทั่วโลก,,การลดทอนลงทั่วโลก,,,
Compost,ปุ๋ยหมัก,,ปุ๋ยหมัก,,,
Solar Radiation Management (SRM),การจัดการรังสีแสงอาทิตย์,,การจัดการรังสีแสงอาทิตย์ (SRM),,,
Psyop,ปฏิบัติการจิตวิทยา,,Psyop,,,
Suspend Parliament,ระงับกิจการรัฐสภา,,ระงับรัฐสภา,,,
Space Elevator,ลิฟต์อวกาศ,,ลิฟต์อวกาศ,,,
'Green' Container Ships,เรือขนตู้สินค้ารักษ์โลก,,เรือคอนเทนเนอร์ 'สีเขียว',,,
Perennial Cereals,พืชยืนต้น,,ธัญพืชยืนต้น,,,
Carbon Capture and Sequestration,การจับคาร์บอนเพื่อนำมาใช้งาน,,การจับคาร์บอนและการกักเก็บ,,,
Mine Moon for Tritium,ทำเหมืองดวงจันทร์หาแร่ทริเทียม,,Mine Moon for tritium,,,
Ban Exotic Animal Trade,ห้ามการค้าสัตว์หายาก,,ห้ามการค้าสัตว์ที่แปลกใหม่,,,
Restrict Air Travel,จำกัดการเดินทางทางอากาศ,,จำกัด การเดินทางทางอากาศ,,,
Fanonist Curriculum,หลักสูตรมาร์กซิสต์สายฟานอน,,หลักสูตร Fanonist,,,
Cloud Seeding,การทำฝนเทียม,,การเพาะเมฆ,,,
