English,Translation
1 planning cycle left,1 ciclo de planejamento restante
<strong>Locks</strong> {tag},<strong>Bloqueia</strong> {tag}
<strong>Unlocks</strong> the {tag} process.,<strong>Desbloqueia</strong> o processo {tag}.
<strong>Unlocks</strong> the {tag} project.,<strong>Desbloqueia</strong> o projeto {tag}.
<strong>Unlocks</strong> {name}.,<strong>Desbloqueia</strong> {name}.
A Planetary Crisis Planning Game,Um Jogo de Planejamento em Crises Planetárias
A parliamentary majority is no longer required for any project.,Uma maioria parlamentar não é mais necessária para aprovar projetos.
Accelerates regional development throughout the world.,Acelera o desenvolvimento regional em todo o mundo.
Add,Adicionar
Add some cards to get started,Adicione alguns cartões para começar
Ally,Aliado
"Animal calorie demand will change from <img src=""{iconACals}"">{prevDemandACals} to <img src=""{iconACals}"">{nextDemandACals} and plant calorie demand will change from <img src=""{iconPCals}"">{prevDemandPCals} to <img src=""{iconPCals}"">{nextDemandPCals}.","A demanda calórica animal mudará de <img src=""{iconACals}"">{prevDemandACals} para <img src=""{iconACals}"">{nextDemandACals} e a demanda calórica vegetal mudará de <img src=""{iconPCals}"">{prevDemandPCals} para <img src=""{iconPCals}"">{nextDemandPCals}."
At current usage rates the estimated supply is expected to last indefinitely.,"Nas taxas de uso atuais, espera-se que o fornecimento estimado dure indefinidamente."
At current usage rates the estimated supply is expected to last {years} year(s).,"Nas taxas de uso atuais, a estimativa é que o suprimento dure {years} ano(s)."
At current usage rates the estimated supply is expected to last {years} years.,"Com as taxas de uso atuais, espera-se que o fornecimento estimado dure {years} anos."
Average sea levels have risen by {rise}m and are rising at a rate of {rate}mm per year.,O nível médio do mar aumentou {rise}m e está subindo a uma taxa de {rate}mm por ano.
Avg. Habitability,Habitabilidade Média
Avg. Living Standards,Padrão de Vida Médio
Back,Voltar
Based on the book,Inspirado no livro
"Because of opposition, this requires a majority in parliament.","Devido à oposição, necessita de uma maioria em parlamento."
Because of resource availability this process can only make up to {maxPercent}% of production.,"Devido à disponibilidade de recursos, esse processo pode representar apenas {maxPercent}% da produção."
Because of resource availability this process can only make up to {maxPercent}% of production. {suggestion},"Devido à disponibilidade de recursos, este processo pode representar apenas {maxPercent}% da produção. {suggestion}"
Biodiversity is flourishing.,A biodiversidade está florescendo.
Biodiversity is plummeting.,A biodiversidade está despencando.
Biodiversity is recovering.,A biodiversidade está se recuperando.
Biodiversity is stabilizing.,A biodiversidade está se estabilizando.
Biodiversity is struggling.,A biodiversidade está lutando.
Biodiversity is suffering.,A biodiversidade está sofrendo.
Biodiversity: The co-inhabitants of the planet. The current biodiversity threat index is {amount}.,"Biodiversidade: Os co-habitantes do planeta. O índice atual de ameaça à biodiversidade
é {amount}."
Booting Up,Iniciando
Building,Construindo
CH4,CH4
CO2,CO2
CO2 Emissions/Yr,Emissões de CO₂/Ano
Change Production,Alterar Produção
Change the amount of land under protection by <strong>{percent}%</strong>.,Altere a quantidade de terra protegida em <strong>{percent}%</strong>.
Changes,Altera
Changes demand for {name} by <strong>{percent}%.</strong>,Altera a demanda por {name} em <strong>{percent}%.</strong>
Changes demand for {name} by an unknown amount.,Altera a demanda de {name} por um valor indefinido.
Changes emissions for {name} by an unknown amount.,Altera as emissões de {name} por um valor indefinido.
Changes the biodiversity pressure for these processes by <strong>{amount}.</strong>,Altera a pressão sobre a biodiversidade para esses processos em <strong>{amount}.</strong>
Changes the output for these processes by {percent}% without changing their impacts.,Altera a produção desses processos em {percent}% sem alterar seus impactos.
Changes the output for this process by {percent}% with no change in impacts.,Altera a produção deste processo em {percent}% sem alteração nos impactos.
Changes {label} for {name} by an unknown amount.,Altera {label} para {name} por um valor indefinido.
Completed,Completo
Completed Projects,Projetos Concluídos
Completed Request: Ban {name},Solicitação Concluída: Proibir {name}
Completed Request: Implement {name},Solicitação Concluída: Efetuar {name}
Completed Request: Stop {name},Solicitação Concluída: Interromper {name}
Completed Request: Unban {name},Solicitação Concluída: Liberar {name}
Completed Requests,Solicitações Concluídas.
Concept,Conceito
Contentedness,Aprovação
Continue,Continuar
Contract the economies of the wealthiest regions.,Freia as economias das regiões mais ricas.
Could increase,Pode aumentar
Could reduce,Pode reduzir
Could unlock the {tag} process.,Poderia desbloquear o processo {tag}.
Could unlock the {tag} project.,Poderia desbloquear o projeto {tag}.
Could unlock this process:,Poderia desbloquear este processo:
Could unlock this project:,Pode desbloquear este projeto:
Could unlock {name}.,Pode desbloquear {name}.
Credits,Créditos
Crops,Colheitas
