English,Translation
1 planning cycle left,1 Planlama döngüsü kaldı
<strong>Locks</strong> {tag},<strong>Şunu kiltler:</strong> {tag}
<strong>Unlocks</strong> the {tag} process.,{tag} İşleminin </strong>kilidini açar</strong>.
<strong>Unlocks</strong> the {tag} project.,{tag} Projesinin </strong>kilidini açar</strong>.
<strong>Unlocks</strong> {name}.,</strong>kilidini açar:</strong> {name}.
A Planetary Crisis Planning Game,Bir gezegensel kriz planlama oyunu
A parliamentary majority is no longer required for any project.,Herhangi bir proje için parlementoda çoğunluk artık gerekmiyor.
Accelerates regional development throughout the world.,Dünya genelinde bölgesel kalkınmayı hızlandırır.
Add,Ekle
Add some cards to get started,Başlamak için birkaç kart ekle.
Ally,Müttefik
"Animal calorie demand will change from <img src=""{iconACals}"">{prevDemandACals} to <img src=""{iconACals}"">{nextDemandACals} and plant calorie demand will change from <img src=""{iconPCals}"">{prevDemandPCals} to <img src=""{iconPCals}"">{nextDemandPCals}.","Hayvan kalorisi talebi <img src=""{iconACals}"">{prevDemandACals} seviyesinden <img src=""{iconACals}"">{nextDemandACals} seviyesine gelecek ve bitki kalorisi talebi  <img src=""{iconPCals}"">{prevDemandPCals} seviyesinden <img src=""{iconPCals}"">{nextDemandPCals} seviyesine gelecek."
At current usage rates the estimated supply is expected to last indefinitely.,"Mevcut kullanım oranlarında, tahmini arzın süresiz olarak sürmesi bekleniyor."
At current usage rates the estimated supply is expected to last {years} year(s).,"Mevcut kullanım oranlarında, tahmini arzın {years} yıl sürmesi bekleniyor."
At current usage rates the estimated supply is expected to last {years} years.,Mevcut kullanım oranlarına göre arzın {years} yıl sonra tükenmesi öngörülüyor.
Average sea levels have risen by {rise}m and are rising at a rate of {rate}mm per year.,Ortalama deniz seviyeleri {rise}m yükseldi ve yılda {rate}mm oranında yükseliyor.
Avg. Habitability,Ort. Yaşanılabilirlik
Avg. Living Standards,Ort. Yaşam Standartları
Back,Geri
Based on the book,Kıtabına Dayanırılmıştır
"Because of opposition, this requires a majority in parliament.",Muhalefet yüzünden bu parlementoda çoğunluk gerektiriyor
Because of resource availability this process can only make up to {maxPercent}% of production.,Bu işlemi mümkün kılan kaynakların yetersizliği sebebiyle üretimin ancak %{maxPercent} kadarını gerçekleştirebilir.
Because of resource availability this process can only make up to {maxPercent}% of production. {suggestion},Bu işlemi mümkün kılan kaynakların yetersizliği sebebiyle üretimin ancak %{maxPercent} kadarını gerçekleştirebilir. {suggestion}
Biodiversity is flourishing.,Biyoçeşitlilik gelişiyor.
Biodiversity is plummeting.,Biyoçeşitlilik dibi görüyor.
Biodiversity is recovering.,Biyoçeşitlilik iyileşiyor.
Biodiversity is stabilizing.,Biyoçeşitlilik düzeliyor.
Biodiversity is struggling.,Biyoçeşitlilik çırpınıyor.
Biodiversity is suffering.,Biyoçeşitlilik acı çekiyor.
Biodiversity: The co-inhabitants of the planet. The current biodiversity threat index is {amount}.,Biyoçeşitlilik: Gezegenin ortak sakinleri. Mevcut biyolojik çeşitlilik tehdit endeksi {amount}.
Booting Up,Açılıyor
Building,İnşa Ediliyor
CH4,CH4
CO2,CO2
CO2 Emissions/Yr,CO2 Emisyonları/Yıl
Change Production,Üretimi Değiştir
Change the amount of land under protection by <strong>{percent}%</strong>.,Koruma altındaki arazi miktarını <strong>{percent}%</strong> oranında değiştirin.
Changes,Değişimler
Changes demand for {name} by <strong>{percent}%.</strong>,{name} talebini <strong>%{percent}</strong> kadar değiştirir.
Changes demand for {name} by an unknown amount.,{name} talebini bilinmeyen bir miktarda değiştirir.
Changes emissions for {name} by an unknown amount.,{name} salınımlarını bilinmeyen bir miiktarda değiştirir.
Changes the biodiversity pressure for these processes by <strong>{amount}.</strong>,Bu işlemlerin biyoçeşitlilik baskısını  <strong>{amount}</strong> kadar değiştirir.
Changes the output for these processes by {percent}% without changing their impacts.,"Bu işlemlerin üretim miktarını, etkilerini değiştirmeden %{percent} artırır."
Changes the output for this process by {percent}% with no change in impacts.,Bu üretim sürecinin çıktı miktarını hiçbir çevresel etki olmadan %{percent} kadar değiştirir.
Changes {label} for {name} by an unknown amount.,{name} için olan {label} bilinmeyen bir miktar kadar değişir.
Completed,Tamamlandı
Completed Projects,Tamamlanan Projeler
Completed Request: Ban {name},İstek Tamamlandı: {name} Yasakla
Completed Request: Implement {name},İstek Tamamlandı: {name} Uygula
Completed Request: Stop {name},İstek Tamamlandı: {name} durdur
Completed Request: Unban {name},İstek Tamamlandı: {name} Yasağını kaldır
Completed Requests,Tamamlanan istekler:
Concept,Konsept
Contentedness,Memnuniyet
Continue,Devam
Contract the economies of the wealthiest regions.,En zengin bölgelerin ekonomilerini küçült.
Could increase,Artırabilir:
Could reduce,Azaltabilir:
Could unlock the {tag} process.,{tag} işleminin kilidini açabilir.
Could unlock the {tag} project.,{tag} projesini açabilir.
Could unlock this process:,Şu işlemin kilidini açabilir:
Could unlock this project:,Şu projeyi açabilir:
Could unlock {name}.,Kilidini açabilir: {name}
Credits,Emeği Geçenler
Crops,Ekinler
"Current annual emissions are {emissions} gigatonnes. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","Mevcut yıllık emisyonlar {emissions} gigaton. <b class=""tip-goal"">Amacınız bunu 0'ın altına indirmektir.</b>"
"Current annual emissions are {emissions}. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","Mevcut yıllık salınımlar {emissions}. <b class=""tip-goal"">Amacın bunu 0'ın altına getirmek.</b>"
"Current annual emissions, in gigatonnes of CO2 equivalent.",Gigaton CO2 cinsinden mevcut yıllık  salınım.
"Current biodiversity pressure is {amount}<span class=""type-total"">/{maxAmount}</span>.","Mevcut biyoçeşitlilik baskısı {amount}<span class=""type-total"">/{maxAmount}</span>."
Current energy use.,Mevcut enerji kullanımı.
Current land use.,Mevcut arazi kullanımı.
Current water demand.,Mevcut su talebi.
"Current world contentedness is {contentedness}<span class=""type-total"">/{maxContentedness}</span>.","Şuanki küresel memnuniyet {contentedness}<span class=""type-total"">/{maxContentedness}</span>."
Design,Tasarım
Development,Geliştirme
Development Progress,Kalkınma İlerlemesi
Disasters,Afetler
Dislikes,Sevmedikleri
Downgrade,Derecesini alçalt
Drag a card up to assign leftover production,Kalan üretimi atamak için bir kartı yukarı sürükle
Electricity,Elektrik
Emissions,Salınımlar
Emissions: A shroud around the earth. You're emitting {amount} gigatonnes per year.,Salınımlar: Dünya'nın etrafında bir örtü. Her yıl {amount} gigaton salınım yapıyorsun.
Energy Use,Enerji Kullanımı
Energy: The fundamental mover. You're using {amount}TWh of energy.,Enerji: Esas haraket ettirici güç. {amount}TWh enerji kullanıyorsun.
Events,Olaylar
Extinction Rate,Soyu Tükenme Oranı
Fuel,Yakıt
"Fuel demand will change from <img src=""{iconFuel}"">{prevDemandFuel} to <img src=""{iconFuel}"">{nextDemandFuel} and electricity demand will change from <img src=""{iconElec}"">{prevDemandElec} to <img src=""{iconElec}"">{nextDemandElec}.","Yakıt talebi <img src=""{iconFuel}"">{prevDemandFuel} seviyesinden <img src=""{iconFuel}"">{nextDemandFuel} seviyesine gelecek ve elektrik talebi <img src=""{iconElec}"">{prevDemandElec} seviyesinden <img src=""{iconElec}"">{nextDemandElec} seviyesine gelecek."
Global demand for {output}.,{output} için küresel talep.
"Global {name} output will change from <img src=""{icon}"">{base} to <img src=""{icon}"">{changed} with no change in impacts.","Küresel {name} üretimi <img src=""{icon}"">{base} miktarından <img src=""{icon}"">{changed} miktarına herhangi bir etki olmadan değişecek."
Govt,Hükümet
High,Yüksek
How many seats your coalition has. Draw parties to your coalition by implementing projects they support.,Koalisyonunun ne kadar koltuğu olduğu. Destekledikleri projeleri uygulayarak koalisyonuna diğer partileri kat.
"How much political capital you have. Political capital is what you spend to implement your plans. <b class=""tip-warn"">If you run out you'll be pushed out of government.</b>","Sahip olduğun siyasi sermaye. Siyasi sermaye, planlarını uygulamak için harcadığın şeydir. <b class=""tip-warn"">Eğer hepsini tüketirsen, iktidardan uzaklaştırılırsın.</b>"
"How people around the world feel about the state of things. This is a combination of regional contentedness, crises, and policy decisions. <b class=""tip-warn"">If this goes below 0 you will be removed from power.</b>","Dünyanın dört bir yanındaki insanların mevcut durum hakkında ne hissettiği. Bu; bölgesel memnuniyet, krizler ve politika kararlarının bir birleşimidir. <b class=""tip-warn"">Bu 0'ın altına düşerse, iktidardan uzaklaştırılırsın.</b>"
I request that you implement {name}. (+{pc}PC),Şunu uygulamanı talep ediyorum: {name}. (+{pc}PC)
I request that you stop {name}. (+{pc}PC),Şu işlemi durdumanı talep ediyorum: {name} (+{pc}PC)
Image:,Görsel:
Improve your relationship with {name} to activate this ability.,Bu yeteneği açmak için {name} ile olan ilişkinizi geliştirin.
Increases,Artırır
Infrastructure,Altyapı
Infrastructure projects take 20% longer to finish.,Altyapı projelerinin tamamlanması %20 daha fazla sürecek.
Land Use,Arazi Kullanımı
Land: They're not making anymore of it. You're using {percent} of land.,Arazi: Artık bunu üretmiyorlar. Arazinin %{percent} kadarını kullanıyorsun.
Level,Seviye
Likely to increase,Artırması muhtemel:
